station_id,station_name,lat,lon,capacity
7115,Howard St / Sherbourne St,43.6712581,-79.376367,15
7114,Carlton St / Parliament St,43.664524,-79.36793,15
7113,Parliament St / Aberdeen Ave,43.665278,-79.368333,15
7001,Lower Jarvis St / The Esplanade,43.647992,-79.370907,15
7388,Broadview Ave / Danforth Ave,43.6772,-79.35858,15
7383,12 Harbour St,43.6425636,-79.3762,15
7108,Front St E / Cherry St,43.652686,-79.358395,15
7034,Church St / Bloor St E,43.671389,-79.382919,15
7130,Davenport Rd / Bedford Rd,43.6743985,-79.3986601,15
7270,Church St / Dundas St E - SMART,43.657024,-79.377257,15
7379,Lawton Blvd / Yonge St,43.6910667,-79.39535,15
7378,Yonge St / Davisville Ave,43.6975969,-79.39654,15
7131,Taddle Creek Park,43.66986,-79.398443,15
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,15
7479,Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,15
7373,George St / King St E,43.6509552,-79.3707,15
7135,Hanna Ave / Liberty St,43.638333,-79.419722,15
7367,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,15
7138,Davenport Rd / Christie St,43.675278,-79.423889,15
7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15
7140,Macpherson Ave / Spadina Rd,43.675791,-79.40698,15
7110,Queen St E / Berkeley St,43.6552778,-79.36583333333333,15
7413,Dundas St W / Watkinson Ave - SMART,43.66478,-79.45991,15
7142,Bridgeman Ave / Bathurst St,43.674444,-79.414722,15
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,15
7237,Ward Ave / Wallace Ave,43.662251,-79.446036,15
7243,Exhibition GO Station,43.6356551,-79.4184785,15
7065,Dundas St E / Parliament St,43.659575,-79.365769,15
7454,Pottery Rd / Lower Don River Trail - SMART,43.688148,-79.362101,15
7003,Madison Ave / Bloor St W,43.667158,-79.402761,15
7055,Jarvis St / Carlton St,43.66207,-79.37617,15
7450,Carlaw Ave / Danforth Ave - SMART,43.678285,-79.347346,15
7449,Cosburn Ave / Cedarvale Ave - SMART,43.697139,-79.31469,15
7467,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,15
7083,Danforth Ave / Barrington Ave,43.688325,-79.300463,15
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848,15
7438,High Park Subway - SMART,43.65389,-79.4675,15
7437,Concord Ave / Bloor St W - SMART,43.66189,-79.42679,15
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,15
7433,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,15
7414,Keele St / Annette St - SMART,43.66402,-79.46418,15
7090,Danforth Ave / Lamb Ave,43.681991,-79.329455,15
7471,Lakeshore Blvd W / Louisa St - SMART,43.61868,-79.48674,15
7092,Pape Subway Green P,43.680223,-79.344062,15
7429,Woodbine Subway Station - SMART,43.686442,-79.313404,15
7044,Church St / Alexander St,43.663722,-79.380288,15
7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,15
7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704,15
7098,Riverdale Park South (Broadview Ave),43.667819,-79.35347,15
7099,Cherry St / Mill St,43.651248,-79.357848,15
7104,King St E / River St,43.657071,-79.356598,15
7105,Queen St E / Sackville St,43.6561111,-79.36138888888888,15
7038,Dundas St W / Yonge St,43.656094,-79.381484,15
7106,Mill St / Tannery Rd,43.652219,-79.354455,15
7107,Cherry St / Distillery Ln,43.650279,-79.356832,15
7363,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,15
7137,Davenport Rd / Bathurst St,43.676667,-79.416111,15
7174,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,15
7339,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,15
7337,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,15
7335,Bay St / Bloor St W (West Side),43.669244,-79.3894,15
7334,Simcoe St / Wellington St North,43.6462176,-79.3855048,15
7163,Yonge St / Wood St,43.6622222,-79.3825,15
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,15
7178,Dundas St W / Edna Ave,43.657192,-79.452559,15
7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,15
7183,St Clarens Ave / College St,43.651238,-79.43868,15
7487,Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,15
7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,15
7318,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15
7190,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,15
7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,15
7026,Bay St / St. Joseph St,43.665527,-79.387499,15
7314,Queen St. E / Eastern Ave,43.667208,-79.312315,15
7313,Coxwell Ave/  Lakeshore Blvd E,43.662771,-79.315223,15
7260,Spadina Ave / Adelaide St W,43.646688,-79.395267,15
